ARTICLE,ARTICLE,Aravindan2021,"Aravindan, M. and Ali, S.F.","Exploring 1:3 internal resonance for broadband piezoelectric energy harvesting","Mechanical Systems and Signal Processing",2021,153,10.1016/j.ymssp.2020.107493,107493,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098450986&doi=10.1016%2fj.ymssp.2020.107493&partnerID=40&md5=9cfbddf62dadbfb8dfd1483eed1c113e,Article,Scopus,"@ARTICLE{Aravindan2021,
author={Aravindan, M. and Ali, S.F.},
title={Exploring 1:3 internal resonance for broadband piezoelectric energy harvesting},
journal={Mechanical Systems and Signal Processing},
year={2021},
volume={153},
doi={10.1016/j.ymssp.2020.107493},
art_number={107493},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098450986&doi=10.1016%2fj.ymssp.2020.107493&partnerID=40&md5=9cfbddf62dadbfb8dfd1483eed1c113e},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,KV2021,"KV, G. and Nambiar, A. and Srinivas, K.S. and Mittal, A.","Linguistically-aware attention for reducing the semantic gap in vision-language tasks","Pattern Recognition",2021,112,10.1016/j.patcog.2020.107812,107812,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099240155&doi=10.1016%2fj.patcog.2020.107812&partnerID=40&md5=9884c94e447cd30cfdb8bde0c24f698e,Article,Scopus,"@ARTICLE{KV2021,
author={KV, G. and Nambiar, A. and Srinivas, K.S. and Mittal, A.},
title={Linguistically-aware attention for reducing the semantic gap in vision-language tasks},
journal={Pattern Recognition},
year={2021},
volume={112},
doi={10.1016/j.patcog.2020.107812},
art_number={107812},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099240155&doi=10.1016%2fj.patcog.2020.107812&partnerID=40&md5=9884c94e447cd30cfdb8bde0c24f698e},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Augustine2021121,"Augustine, J. and Sivasubramaniam, S.","Spartan: Sparse Robust Addressable Networks","Journal of Parallel and Distributed Computing",2021,150,121-138,10.1016/j.jpdc.2020.12.013,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099611165&doi=10.1016%2fj.jpdc.2020.12.013&partnerID=40&md5=59b4e87958ac7b3d69a28ef802ba91e4,Article,Scopus,"@ARTICLE{Augustine2021121,
author={Augustine, J. and Sivasubramaniam, S.},
title={Spartan: Sparse Robust Addressable Networks},
journal={Journal of Parallel and Distributed Computing},
year={2021},
volume={150},
pages={121-138},
doi={10.1016/j.jpdc.2020.12.013},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099611165&doi=10.1016%2fj.jpdc.2020.12.013&partnerID=40&md5=59b4e87958ac7b3d69a28ef802ba91e4},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Kundin2021,"Kundin, J. and Farhandi, H. and Ganesan, K.P. and Almeida, R.S.M. and Tushtev, K. and Rezwan, K.","Phase-field modeling of grain growth in presence of grain boundary diffusion and segregation in ceramic matrix mini-composites","Computational Materials Science",2021,190,10.1016/j.commatsci.2021.110295,110295,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099833949&doi=10.1016%2fj.commatsci.2021.110295&partnerID=40&md5=a920c9ad60cec2d7d003ce9e3991668b,Article,Scopus,"@ARTICLE{Kundin2021,
author={Kundin, J. and Farhandi, H. and Ganesan, K.P. and Almeida, R.S.M. and Tushtev, K. and Rezwan, K.},
title={Phase-field modeling of grain growth in presence of grain boundary diffusion and segregation in ceramic matrix mini-composites},
journal={Computational Materials Science},
year={2021},
volume={190},
doi={10.1016/j.commatsci.2021.110295},
art_number={110295},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099833949&doi=10.1016%2fj.commatsci.2021.110295&partnerID=40&md5=a920c9ad60cec2d7d003ce9e3991668b},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Agarwal2021,"Agarwal, S. and Sriram, V. and Yan, S. and Murali, K.","Improvements in MLPG formulation for 3D wave interaction with fixed structures","Computers and Fluids",2021,218,10.1016/j.compfluid.2020.104826,104826,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098967656&doi=10.1016%2fj.compfluid.2020.104826&partnerID=40&md5=2a9d1a861e45d816d2537e730e05036b,Article,Scopus,"@ARTICLE{Agarwal2021,
author={Agarwal, S. and Sriram, V. and Yan, S. and Murali, K.},
title={Improvements in MLPG formulation for 3D wave interaction with fixed structures},
journal={Computers and Fluids},
year={2021},
volume={218},
doi={10.1016/j.compfluid.2020.104826},
art_number={104826},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098967656&doi=10.1016%2fj.compfluid.2020.104826&partnerID=40&md5=2a9d1a861e45d816d2537e730e05036b},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Voice2021,"Voice, T. and Abdulrahman, A. and Raina, G.","Global stability of the Rate Control Protocol (RCP) and some implications for protocol design","Performance Evaluation",2021,146,10.1016/j.peva.2020.102164,102164,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097344085&doi=10.1016%2fj.peva.2020.102164&partnerID=40&md5=ce5eb2cd33a4753979c48f5078297726,Article,Scopus,"@ARTICLE{Voice2021,
author={Voice, T. and Abdulrahman, A. and Raina, G.},
title={Global stability of the Rate Control Protocol (RCP) and some implications for protocol design},
journal={Performance Evaluation},
year={2021},
volume={146},
doi={10.1016/j.peva.2020.102164},
art_number={102164},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097344085&doi=10.1016%2fj.peva.2020.102164&partnerID=40&md5=ce5eb2cd33a4753979c48f5078297726},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Gupta2021,"Gupta, S. and Balasubramanian, S. and Senapati, S.","Understanding the mechanism of HIV-1 protease inhibition by monoclonal antibodies","Journal of Molecular Graphics and Modelling",2021,103,10.1016/j.jmgm.2020.107826,107826,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098982424&doi=10.1016%2fj.jmgm.2020.107826&partnerID=40&md5=c8686c25e2908f2039bba22cdd9748a6,Article,Scopus,"@ARTICLE{Gupta2021,
author={Gupta, S. and Balasubramanian, S. and Senapati, S.},
title={Understanding the mechanism of HIV-1 protease inhibition by monoclonal antibodies},
journal={Journal of Molecular Graphics and Modelling},
year={2021},
volume={103},
doi={10.1016/j.jmgm.2020.107826},
art_number={107826},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098982424&doi=10.1016%2fj.jmgm.2020.107826&partnerID=40&md5=c8686c25e2908f2039bba22cdd9748a6},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Ganapathy2021,"Ganapathy, N. and Swaminathan, R. and Deserno, T.M.","Adaptive learning and cross training improves R-wave detection in ECG","Computer Methods and Programs in Biomedicine",2021,200,10.1016/j.cmpb.2021.105931,105931,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099779859&doi=10.1016%2fj.cmpb.2021.105931&partnerID=40&md5=b97f6fe8e7ebf2b560a01b2b87e837b2,Article,Scopus,"@ARTICLE{Ganapathy2021,
author={Ganapathy, N. and Swaminathan, R. and Deserno, T.M.},
title={Adaptive learning and cross training improves R-wave detection in ECG},
journal={Computer Methods and Programs in Biomedicine},
year={2021},
volume={200},
doi={10.1016/j.cmpb.2021.105931},
art_number={105931},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099779859&doi=10.1016%2fj.cmpb.2021.105931&partnerID=40&md5=b97f6fe8e7ebf2b560a01b2b87e837b2},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Mondal2021,"Mondal, S. and Nasre, R.","Hansie: Hybrid and consensus regression test prioritization","Journal of Systems and Software",2021,172,10.1016/j.jss.2020.110850,110850,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094944038&doi=10.1016%2fj.jss.2020.110850&partnerID=40&md5=0bf64cfae3774e64cbd21240dd131e42,Article,Scopus,"@ARTICLE{Mondal2021,
author={Mondal, S. and Nasre, R.},
title={Hansie: Hybrid and consensus regression test prioritization},
journal={Journal of Systems and Software},
year={2021},
volume={172},
doi={10.1016/j.jss.2020.110850},
art_number={110850},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094944038&doi=10.1016%2fj.jss.2020.110850&partnerID=40&md5=0bf64cfae3774e64cbd21240dd131e42},
document_type={Article},
source={Scopus},
}"
ARTICLE,ARTICLE,Swaroop2021,"Swaroop, A. and Himasree, V. and Thomas, T.","Machine learning based a priori prediction on powder samples of sintering-driven abnormal grain growth","Computational Materials Science",2021,187,10.1016/j.commatsci.2020.110117,110117,"cited By 0",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094320250&doi=10.1016%2fj.commatsci.2020.110117&partnerID=40&md5=c0b47823345d365fcaa073a82febc16d,Article,Scopus,"@ARTICLE{Swaroop2021,
author={Swaroop, A. and Himasree, V. and Thomas, T.},
title={Machine learning based a priori prediction on powder samples of sintering-driven abnormal grain growth},
journal={Computational Materials Science},
year={2021},
volume={187},
doi={10.1016/j.commatsci.2020.110117},
art_number={110117},
note={cited By 0},
url={https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094320250&doi=10.1016%2fj.commatsci.2020.110117&partnerID=40&md5=c0b47823345d365fcaa073a82febc16d},
document_type={Article},
source={Scopus},
}"
